rank,asr,llm,tts,composite,task_success_rate,accuracy_overall,call_latency_mean,avg_response_time,robustness,consistency
1,deepgram_nova2,gpt4o,pyttsx3,0.8875013916013068,0.835,0.9600000000000004,13.513417394445284,2.497522664431031,0.997775305895439,0.8975
2,deepgram_nova2,gpt4o,deepgram_aura,0.8843795548011412,0.835,0.9600000000000004,14.293876594486704,2.6673723271168686,0.997775305895439,0.8975
3,deepgram_nova2,gpt4o,google_tts,0.8799722557891425,0.835,0.9600000000000004,15.395701347486359,2.907160086202756,0.997775305895439,0.8975
4,deepgram_nova2,gpt4o,gtts,0.8779522437419764,0.835,0.9600000000000004,15.900704359277865,3.017062809117121,0.997775305895439,0.8975
5,whisper_large,gpt4o,pyttsx3,0.8609500456656292,0.84,0.9621428571428576,19.065095656515638,3.7118890832193525,0.967123570029887,0.8925
6,deepgram_nova2,gemini_flash_2_5,pyttsx3,0.8603310017787468,0.755,0.9407142857142863,10.469414294294236,1.9561290842860946,0.9814004376367608,0.865
7,whisper_large,gpt4o,deepgram_aura,0.8578282088654634,0.84,0.9621428571428576,19.845554856557058,3.8817387459051895,0.967123570029887,0.8925
8,deepgram_nova2,gemini_flash_2_5,deepgram_aura,0.8572091649785811,0.755,0.9407142857142863,11.249873494335658,2.125978746971932,0.9814004376367608,0.865
9,whisper_large,gpt4o,google_tts,0.8534209098534649,0.84,0.9621428571428576,20.947379609556712,4.121526504991077,0.967123570029887,0.8925
10,deepgram_nova2,gemini_flash_2_5,google_tts,0.8528018659665825,0.755,0.9407142857142863,12.35169824733531,2.3657665060578195,0.9814004376367608,0.865
