component,backend,mean_tsr,mean_acc,mean_call_latency,mean_avg_rt,mean_robustness,mean_consistency,mean_composite
asr,deepgram_nova2,0.651,0.8984285714285719,16.100079441246894,3.0139261078884862,0.9633553288685778,0.804,0.781127890865871
asr,whisper_large,0.657,0.9028571428571434,21.6772254593843,4.231293130574746,0.935107210473439,0.8109999999999999,0.7570768259714364
asr,whisper_base,0.576,0.8688571428571434,17.616794775424765,3.3429965797062287,0.9163341930892029,0.7835,0.7299639452304274
asr,google_asr,0.614,0.8851428571428578,18.386219367196766,3.509022323238031,0.9439351057484386,0.7935,0.7507778579666151
llm,gpt4o,0.79,0.9462500000000006,17.09413657971574,3.279791918545507,0.9643389593304801,0.860625,0.8436162455472331
llm,gemini_flash_2_5,0.7424999999999999,0.9312500000000006,14.072372048759371,2.7423150768672273,0.9638738033125595,0.84,0.8331727724674746
llm,gemma3_7b,0.59625,0.892678571428572,20.035362087738324,3.814225325565795,0.9333490617254218,0.78625,0.7370105068512741
llm,llama2_7b,0.505,0.8517857142857148,22.773827119237122,4.298001681512652,0.9006710880026152,0.764375,0.6751728376950032
llm,mistral_7b,0.48875,0.8221428571428577,18.249700968615347,3.4872136742681836,0.9361818853534964,0.73875,0.6847107874819524
tts,deepgram_aura,0.6244999999999999,0.8888214285714291,17.963031431375832,3.4194023907517974,0.9396829595449145,0.798,0.7566648233263369
tts,google_tts,0.6244999999999999,0.8888214285714291,19.064856184375486,3.6591901498376846,0.9396829595449145,0.798,0.7522575243143382
tts,gtts,0.6244999999999999,0.8888214285714291,19.569859196166995,3.76909287275205,0.9396829595449145,0.798,0.7502375122671723
tts,pyttsx3,0.6244999999999999,0.8888214285714291,17.18257223133441,3.24955272806596,0.9396829595449145,0.798,0.7597866601265025
